No.,Ticker,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,Cash/sh,EPS past 5Y,Sales past 5Y,Insider Trans,Inst Own,Inst Trans,Short Ratio,ROE,Quick R,Debt/Eq,Profit M,SMA50,52W High,52W Low,All-Time High,All-Time Low,Price,Insider 6M Sum,Insider 6M Sum > 100K,Any profit over 5 years
8,CUTR,Healthcare,Medical Devices,USA,59420000.0,-999,-999,-999,0.26,-999,9.0,-999,0.1467,0.0211,1.113,-0.0073,3.1,-44.4726,2.81,-999,-0.3329,0.0871,-0.9202,1.1594,-0.9599,1.1594,2.98,346300.0,True,True
10,TWOU,Consumer Defensive,Education & Training Services,USA,94380000.0,-999,-999,-999,0.1,0.37,0.66,-0.4735,0.2457,0.0174,0.7666,0.0055,3.23,-0.7649,0.74,3.82,-0.3098,0.0681,-0.9125,0.5738,-0.9883,0.5738,1.15,192093.0,True,False
11,RBT,Technology,Software - Application,USA,52390000.0,-999,-999,-999,0.08,-999,0.36,-999,0.1584,0.0317,0.1415,0.2793,2.14,-1.8987,0.68,-999,-0.0813,-0.2104,-0.9116,0.4553,-0.9833,0.4553,1.4,149167.0,True,False
17,EBS,Healthcare,Drug Manufacturers - Specialty & Generic,USA,94940000.0,-999,3.07,-999,0.09,0.14,1.69,-999,0.1476,0.0,0.7931,-0.0191,8.76,-0.7414,0.54,1.26,-0.7206,-0.1692,-0.8902,0.0195,-0.9867,0.0398,1.83,0.0,False,True
19,DADA,Consumer Cyclical,Internet Retail,China,516160000.0,-999,8.91,-999,0.33,0.55,2.3,0.0039,0.4963,0.0,0.2352,-0.0664,1.39,-0.1508,3.26,0.0,-0.0961,-0.3267,-0.8726,0.4539,-0.9678,0.4539,1.97,0.0,False,False
21,DZSI,Technology,Communication Equipment,USA,56210000.0,-999,3.65,-999,0.14,0.43,0.96,-999,0.076,0.0,0.2721,0.0248,5.2,-0.3981,1.01,0.44,-0.1323,0.107,-0.8686,0.417,-0.9905,0.417,1.75,0.0,False,True
22,MAXN,Technology,Solar,Singapore,272340000.0,-999,-999,-999,0.22,1.6,5.25,0.3074,0.0748,0.0,0.5089,0.0042,3.37,-1.1212,0.87,2.56,-0.1356,-0.0384,-0.8674,0.3197,-0.911,0.3197,5.16,0.0,False,False
32,PRPL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,108720000.0,-999,-999,-999,0.21,0.82,0.25,-0.0085,0.2313,0.0015,0.895,-0.0809,4.0,-0.8785,0.69,1.15,-0.3239,0.1493,-0.8476,0.8896,-0.9749,0.8896,1.03,22182.0,False,True
36,VERI,Technology,Software - Infrastructure,USA,66650000.0,-999,-999,-999,0.49,3.56,1.94,0.3518,0.5736,0.0099,0.3576,0.0124,13.27,-1.4701,0.87,7.58,-0.4792,-0.0806,-0.8367,0.2128,-0.976,0.4713,1.79,101992.0,True,False
38,LPSN,Technology,Software - Application,USA,249800000.0,-999,41.66,-999,0.58,5.38,2.65,-0.5677,0.2004,0.1242,0.6929,-0.0137,3.05,-1.5103,1.15,13.06,-0.2369,-0.0548,-0.8299,0.3262,-0.9572,43.1429,3.09,6292761.0,True,False
41,MOND,Consumer Cyclical,Travel Services,USA,214680000.0,-999,-999,-999,1.07,-999,0.56,-999,0.3557,0.0013,0.2241,-0.4973,17.37,-0.9989,1.1,4.18,-0.3468,-0.0959,-0.8246,0.3021,-0.8528,0.3021,2.5,522720.0,True,False
44,LU,Financial,Credit Services,China,1380000000.0,10.32,3.11,-999,0.24,0.11,13.89,0.0951,0.1204,0.0,0.1716,-0.105,1.27,0.0104,-999,0.46,0.0235,-0.2125,-0.8185,0.1422,-0.9701,0.1422,2.41,0.0,False,True
48,SPWR,Technology,Solar,USA,603240000.0,-999,-999,-999,0.33,1.43,0.61,-999,0.0524,0.0,0.5103,1.2859,3.77,-0.2296,0.47,0.86,-0.0705,-0.1954,-0.815,0.2546,-0.9681,0.4162,3.44,0.0,False,True
54,CMBM,Technology,Communication Equipment,USA,124240000.0,-999,-999,-999,0.47,0.95,0.99,0.1589,0.0594,0.0023,0.3434,0.0021,1.17,-0.1119,1.36,0.23,-0.055,-0.072,-0.8037,0.272,-0.9324,0.272,4.49,200567.0,True,True
55,FOSL,Consumer Cyclical,Luxury Goods,USA,62980000.0,-999,-999,-999,0.04,0.22,2.21,0.3874,-0.0853,0.0,0.6564,-0.0806,7.9,-0.4102,1.31,1.57,-0.0928,-0.081,-0.8026,0.1214,-0.9914,0.1214,1.2,0.0,False,True
61,WOOF,Consumer Cyclical,Specialty Retail,USA,684650000.0,-999,18.19,-999,0.11,0.57,0.53,-999,0.0847,0.0003,0.5627,-0.0701,3.04,-0.6958,0.25,2.54,-0.1989,-0.1966,-0.7972,0.0324,-0.918,0.0625,2.55,99924.0,False,True
63,OPI,Real Estate,REIT - Office,USA,179440000.0,-999,-999,-999,0.34,0.14,0.81,-999,0.1003,0.0,0.7197,-0.0016,4.27,-0.0193,-999,1.9,-0.0495,-0.3482,-0.7967,0.0888,-0.9675,0.0888,3.68,0.0,False,True
64,SEDG,Technology,Solar,Israel,4050000000.0,19.52,139.98,1.84,1.14,1.63,18.1,-0.0272,0.3686,0.0422,0.901,0.0173,2.34,0.0958,2.49,0.29,0.0613,-0.1293,-0.794,0.1265,-0.8172,5.2775,71.25,1610670.0,True,True
65,BW,Industrials,Specialty Industrial Machinery,USA,126910000.0,-999,56.8,-999,0.12,-999,0.61,0.6496,-0.0059,0.0945,0.8128,0.0589,1.03,-6.5727,1.09,-999,-0.1365,-0.0377,-0.7921,0.4868,-0.9941,0.8442,1.42,222129.0,True,True
66,TPIC,Industrials,Specialty Industrial Machinery,USA,131120000.0,-999,-999,-999,0.08,-999,3.99,-999,0.1184,0.0181,0.9865,0.1126,3.2,-0.5478,1.44,1.59,-0.1594,0.0314,-0.79,0.8896,-0.9621,0.8896,3.08,103841.0,True,True
69,GDS,Technology,Information Technology Services,China,1060000000.0,-999,-999,-999,0.76,0.37,5.63,-0.1995,0.352,0.0,0.2206,-0.1181,10.51,-0.0567,1.52,2.08,-0.1389,-0.3397,-0.7849,0.0907,-0.9506,0.0907,5.77,0.0,False,False
70,PIII,Healthcare,Medical Care Facilities,USA,139440000.0,-999,-999,-999,0.12,0.74,0.5,-999,0.4723,0.019,0.1958,0.0014,7.87,-0.9498,0.67,0.65,-0.1073,-0.0087,-0.7824,0.7278,-0.9277,0.7278,1.21,4211163.0,True,False
71,DDL,Consumer Defensive,Grocery Stores,China,262740000.0,-999,21.63,-999,0.09,4.86,4.29,-999,0.9924,0.0,0.119,0.0366,9.63,-0.1561,0.86,12.33,-0.0023,-0.1222,-0.7795,0.3709,-0.9683,0.3709,1.46,0.0,False,False
72,CTSO,Healthcare,Medical Devices,USA,53250000.0,-999,-999,-999,1.44,2.42,0.16,-0.1877,0.1521,0.0391,0.31,-0.0291,5.9,-0.8131,1.36,0.97,-0.6323,-0.1789,-0.7778,0.2143,-0.9897,0.36,1.02,314582.0,True,False
73,SKIN,Consumer Defensive,Household & Personal Products,USA,409560000.0,-999,62.81,-999,1.03,4.6,4.26,-999,0.4351,0.0049,0.8125,-0.0093,2.04,-0.5113,5.27,8.36,-0.2227,0.1337,-0.7755,1.3111,-0.8966,1.3111,3.12,1348188.0,True,False
77,TSE,Basic Materials,Specialty Chemicals,USA,244640000.0,-999,-999,-999,0.06,-999,7.91,-999,0.0828,0.1289,0.8578,-0.059,1.8,-2.3662,1.24,-999,-0.2102,0.0174,-0.7724,0.334,-0.9186,0.334,6.95,763480.0,True,False
79,INGN,Healthcare,Medical Devices,USA,139860000.0,-999,-999,-999,0.43,0.61,5.92,-999,0.0193,0.0,0.9139,-0.0004,3.59,-0.4558,3.33,0.1,-0.4042,0.0451,-0.7702,0.4528,-0.9792,0.4528,6.0,0.0,False,True
80,UP,Industrials,Airports & Air Services,USA,2360000000.0,-999,-999,-999,1.66,3.88,0.35,-999,0.5206,-0.0,0.1532,-0.0287,2.43,-2.1772,0.44,2.2,-0.4559,0.178,-0.7685,2.449,-0.9775,2.449,3.38,-36051.0,False,False
81,BRBS,Financial,Banks - Regional,USA,58180000.0,-999,-999,-999,0.3,0.32,-999,0.0402,0.5375,0.0,0.4084,0.0158,11.22,-0.2443,-999,1.45,-0.2722,0.0071,-0.7669,0.4787,-0.8424,0.4787,3.03,0.0,False,True
82,LUMN,Communication Services,Telecom Services,USA,1370000000.0,-999,-999,-999,0.09,0.62,0.31,-999,-0.0703,0.0872,0.6754,0.0065,7.37,-1.5372,1.07,9.1,-0.7663,-0.1135,-0.7647,0.7434,-0.9723,0.7434,1.36,1617366.0,True,True
83,MPW,Real Estate,REIT - Healthcare Facilities,USA,1930000000.0,-999,4.61,-999,1.41,0.23,0.57,0.1291,0.1966,0.0,0.7668,0.0048,8.01,-0.0041,-999,1.23,-0.0254,-0.2689,-0.7641,0.1062,-0.867,0.1703,3.23,0.0,False,True
96,KC,Technology,Software - Application,China,625770000.0,-999,-999,-999,0.59,0.64,1.58,-0.1303,0.4278,0.0,0.1944,-0.1069,6.24,-0.2943,1.17,0.15,-0.3213,-0.3021,-0.7384,0.06,-0.9645,0.4972,2.65,0.0,False,False
104,BZUN,Consumer Cyclical,Internet Retail,China,130970000.0,-999,11.56,-999,0.11,0.25,7.17,-999,0.1256,0.0,0.307,-0.0746,4.52,-0.1223,1.63,0.59,-0.0595,-0.1309,-0.7285,0.2316,-0.9653,0.2316,2.34,0.0,False,True
108,VNET,Technology,Information Technology Services,China,262280000.0,-999,-999,-999,0.25,0.31,2.89,0.0838,0.2019,0.0,0.4215,0.0679,4.04,-0.0409,0.71,2.61,-0.0354,-0.3215,-0.7252,0.0167,-0.9588,0.0368,1.83,0.0,False,False
112,COMM,Technology,Communication Equipment,USA,528030000.0,-999,3.25,-999,0.07,-999,2.45,-999,0.2325,0.0688,0.9032,-0.002,2.16,-18.3838,1.2,-999,-0.2674,0.0999,-0.7209,0.8582,-0.9418,0.8582,2.49,906835.0,True,True
114,TCS,Consumer Cyclical,Specialty Retail,USA,83790000.0,-999,24.3,-999,0.09,0.36,0.2,-999,0.0421,0.006,0.3909,-0.0158,2.22,-0.6593,0.29,2.49,-0.235,-0.1807,-0.7207,0.08,-0.9656,0.08,1.62,255552.0,True,True
118,VATE,Industrials,Engineering & Construction,USA,79230000.0,-999,-999,-999,0.05,-999,0.7,0.1459,0.0624,0.0,0.3294,-0.0723,27.44,-999,0.96,-999,-0.0238,-0.0877,-0.7167,0.2108,-0.9247,0.5676,1.0,0.0,False,True
123,FCEL,Industrials,Electrical Equipment & Parts,USA,569270000.0,-999,-999,-999,4.61,0.83,0.79,0.5065,0.1297,0.0,0.442,0.0418,6.35,-0.1447,5.95,0.17,-0.8977,-0.0565,-0.711,0.2844,-0.9998,8.403,1.26,0.0,False,False
129,STEM,Technology,Software - Infrastructure,USA,523820000.0,-999,-999,-999,1.17,1.16,0.8,-6.974,1.0895,0.0035,0.7087,0.0211,8.8,-0.268,1.58,1.34,-0.307,0.0054,-0.7042,0.4421,-0.9347,0.4421,3.36,176375.0,True,False
130,PETS,Healthcare,Pharmaceutical Retailers,USA,141700000.0,-999,46.21,-999,0.52,1.25,2.53,-0.6368,-0.0101,0.0658,0.5841,-0.0886,7.43,-0.0483,1.64,0.02,-0.0225,-0.0854,-0.7041,0.2182,-0.8841,76.8136,6.7,451683.0,True,True
134,IRBT,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,431990000.0,-999,-999,-999,0.47,1.71,6.8,-999,0.0305,0.0,0.8079,0.3571,1.54,-0.7984,0.96,0.94,-0.3557,-0.5349,-0.699,-0.0171,-0.9215,1.2143,15.5,-765292.0,False,True
135,LGO,Basic Materials,Other Industrial Metals & Mining,Canada,132580000.0,-999,10.35,-999,0.66,0.52,0.63,0.3194,0.052,0.0,0.2426,-999,3.58,-0.1288,1.62,0.26,-0.1685,-0.0504,-0.6987,0.1129,-0.9864,1.4643,2.07,0.0,False,True
140,BIG,Consumer Defensive,Discount Stores,USA,178240000.0,-999,-999,-999,0.04,0.57,1.59,-999,0.0114,0.006,0.7199,-0.1177,4.69,-0.8465,0.15,7.8,-0.0959,-0.0195,-0.6945,0.7579,-0.9167,4.0881,6.1,75480.0,False,True
143,HE,Utilities,Utilities - Regulated Electric,USA,1490000000.0,7.13,6.5,1.7,0.4,0.67,6.21,0.0768,0.0793,0.0,0.5861,0.0037,5.33,0.0941,3.9,1.74,0.0555,-0.0052,-0.6914,0.489,-0.7554,1.2252,13.49,0.0,False,True
145,APYX,Healthcare,Medical Devices,USA,85560000.0,-999,-999,-999,1.7,2.57,0.64,-0.3211,0.3375,0.0119,0.5528,-0.0047,10.74,-0.4023,3.78,0.43,-0.3013,0.0666,-0.6901,0.7518,-0.8589,5.5867,2.47,83975.0,False,False
146,BYND,Consumer Defensive,Packaged Foods,USA,457590000.0,-999,-999,-999,1.31,-999,3.41,-0.6269,0.6993,0.0,0.5016,-0.3859,7.98,-999,3.51,-999,-0.7147,-0.1269,-0.69,0.2706,-0.9704,0.2706,7.09,0.0,False,False
147,NIU,Consumer Cyclical,Auto Manufacturers,China,128770000.0,-999,8.64,-999,0.33,0.68,2.76,0.2354,0.2413,0.0,0.1516,-0.1929,3.37,-0.1417,1.31,0.29,-0.0643,-0.135,-0.6878,0.0936,-0.965,0.0936,1.87,0.0,False,True
150,IHRT,Communication Services,Broadcasting,USA,409390000.0,-999,33.79,-999,0.11,-999,1.48,0.1753,0.0317,0.0052,0.7641,-0.0056,6.97,-12.3276,1.82,-999,-0.2719,0.1348,-0.6859,0.5944,-0.8998,0.5944,2.83,407016.0,True,True
156,SPRU,Technology,Solar,USA,71830000.0,-999,-999,-999,0.87,0.3,10.57,-999,-0.3333,0.0,0.1705,-0.5343,7.17,-0.2154,2.8,2.62,-0.9203,-0.0291,-0.6823,0.2049,-0.9859,0.2049,3.94,0.0,False,True
159,TUP,Consumer Cyclical,Packaging & Containers,USA,87910000.0,-999,-999,-999,0.07,-999,2.47,0.0049,-0.1057,0.0,0.269,-999,4.33,-999,0.21,-999,-0.0136,-0.0092,-0.6785,2.1148,-0.9804,2.1148,1.9,0.0,False,True
160,SAVE,Industrials,Airlines,USA,658300000.0,-999,-999,-999,0.12,0.5,9.61,-999,0.2674,0.0,0.6819,0.0037,1.38,-0.3387,0.91,5.01,-0.0984,-0.5408,-0.6781,0.5109,-0.9231,0.5109,6.03,0.0,False,True
162,IEP,Energy,Oil & Gas Refining & Marketing,USA,7250000000.0,-999,18.19,-999,0.59,1.72,14.88,-999,0.1603,0.0,0.9061,0.0314,3.84,-0.1753,2.28,2.71,-0.0635,0.0303,-0.6762,0.176,-0.8806,2.0016,17.64,0.0,False,True
163,BCOV,Technology,Software - Application,USA,104760000.0,-999,25.37,-999,0.52,1.13,0.38,0.1768,0.0645,0.0543,0.7686,0.0016,4.0,-0.2635,0.64,0.24,-0.1287,-0.0254,-0.6739,0.1476,-0.9055,0.1476,2.41,411402.0,True,True
166,CCSI,Technology,Software - Infrastructure,USA,399550000.0,5.28,3.86,-999,1.09,-999,7.98,-0.1677,-0.0751,0.0,0.9761,0.0708,5.72,-999,2.26,-999,0.21,-0.0982,-0.6699,0.1662,-0.7044,0.1662,20.49,0.0,False,True
167,CPSI,Healthcare,Health Information Services,USA,152340000.0,-999,33.16,-999,0.5,0.67,0.1,-999,0.0115,0.0,0.8675,-0.0024,1.42,-0.0033,1.42,0.65,-0.0025,-0.0135,-0.6689,0.1424,-0.8649,0.1424,10.47,0.0,False,True
174,SY,Healthcare,Health Information Services,China,85360000.0,22.69,8.31,2.55,0.42,0.31,2.32,-0.4024,0.2558,0.0,0.1036,-0.0261,0.21,0.0141,3.05,0.02,0.0237,-0.1174,-0.6644,0.2455,-0.9548,1.06,1.03,0.0,False,True
177,GLT,Basic Materials,Paper & Paper Products,USA,73950000.0,-999,-999,-999,0.05,0.29,1.25,-999,0.1543,2.3633,0.7895,-0.0402,5.66,-0.3614,1.15,3.37,-0.0726,0.0498,-0.6629,0.2615,-0.9488,0.2615,1.64,2374207.0,True,True
180,DQ,Technology,Solar,China,1430000000.0,2.16,5.23,-999,0.53,0.3,43.79,0.6878,1.0801,0.0,0.5706,0.0583,3.12,0.1572,4.58,0.0,0.263,-0.202,-0.6579,-0.0078,-0.8541,26.9706,19.02,0.0,False,True
184,CCRD,Technology,Software - Application,USA,102800000.0,26.56,32.92,-999,1.72,1.89,4.36,1.0737,0.3858,0.0,0.441,-0.0173,12.19,0.0733,4.74,0.03,0.0654,-0.1145,-0.6567,0.0536,-0.7834,23.6538,12.18,0.0,False,True
185,WB,Communication Services,Internet Content & Information,China,1200000000.0,4.9,3.8,2.9,0.69,0.6,19.05,-0.2564,0.0334,0.0,0.4844,-0.0598,5.34,0.125,2.38,0.76,0.2301,-0.1834,-0.6564,0.0536,-0.9382,0.0536,8.26,0.0,False,True
186,UNFI,Consumer Defensive,Food Distribution,USA,897690000.0,-999,18.55,-999,0.03,0.53,0.62,-0.3442,0.3013,0.0004,0.8398,-0.0008,3.04,-0.0458,0.51,2.11,-0.0027,-0.0215,-0.6562,0.1731,-0.8199,3.3171,15.11,-14798.0,False,True
190,OLPX,Consumer Cyclical,Specialty Retail,USA,1600000000.0,20.62,13.87,-999,3.36,1.91,0.66,-999,0.7338,0.0001,0.2005,-0.0155,3.23,0.1024,8.68,0.78,0.17,0.0727,-0.6549,0.8216,-0.9194,0.8216,2.45,150179.0,True,True
191,SKYX,Industrials,Electrical Equipment & Parts,USA,132720000.0,-999,-999,-999,3.62,7.75,0.21,0.3123,-0.6742,0.0,0.1065,2.2751,17.38,-2.1889,0.72,2.14,-0.883,-0.1301,-0.6547,0.2,-0.91,0.2,1.44,0.0,False,False
192,SHYF,Industrials,Farm & Heavy Construction Machinery,USA,404280000.0,14.45,20.49,0.96,0.42,1.58,0.29,0.1749,0.1806,0.0104,0.8517,0.0129,3.14,0.1138,1.05,0.52,0.0296,0.0146,-0.6543,0.1347,-0.7837,69.2834,11.79,174739.0,True,True
193,AMRC,Industrials,Engineering & Construction,USA,1190000000.0,26.06,12.28,0.96,0.94,1.37,3.15,0.1676,0.2426,0.0032,0.6231,-0.0038,6.7,0.0559,1.13,1.71,0.0368,-0.2066,-0.6541,0.238,-0.7764,4.8261,22.78,1150057.0,True,True
194,SILC,Technology,Communication Equipment,Israel,115260000.0,8.21,302.84,0.55,0.77,0.62,7.35,-0.0126,0.0439,0.0,0.5341,0.026,0.4,0.079,5.04,0.04,0.0941,-0.0065,-0.6537,0.24,-0.7813,84.25,17.05,0.0,False,True
195,DAO,Consumer Defensive,Education & Training Services,China,119890000.0,-999,-999,-999,0.16,-999,1.43,-0.3785,0.6358,0.0,0.444,-0.006,5.9,-999,0.32,-999,-0.112,-0.0981,-0.652,0.1837,-0.927,0.1837,3.48,0.0,False,False
198,UEIC,Technology,Consumer Electronics,USA,117460000.0,-999,27.48,-999,0.26,0.65,4.64,-999,-0.0489,0.125,0.6818,-0.0191,1.73,-0.4365,1.04,0.5,-0.22,0.0771,-0.6499,0.292,-0.8872,3.8373,9.07,2167407.0,True,True
201,SKIL,Consumer Defensive,Education & Training Services,USA,123470000.0,-999,-999,-999,0.22,0.28,16.95,-999,0.0739,0.0121,0.3029,-0.4469,5.23,-0.3149,0.94,1.45,-0.2871,-0.0883,-0.6475,0.1591,-0.9406,0.1591,15.3,85539.0,False,False
202,ASYS,Technology,Semiconductor Equipment & Materials,USA,60020000.0,-999,-999,-999,0.53,0.68,0.93,-999,0.047,0.049,0.6256,-0.0081,0.61,-0.1348,1.56,0.25,-0.111,-0.2235,-0.6469,0.1774,-0.8627,3.512,4.23,792055.0,True,True
204,HROW,Healthcare,Drug Manufacturers - Specialty & Generic,USA,351200000.0,-999,63.83,-999,3.08,4.64,2.1,0.0303,0.2243,0.0156,0.7766,-0.0457,7.89,-0.3692,5.33,2.5,-0.1244,0.0172,-0.646,0.3158,-0.9375,19.0,10.0,990926.0,True,True
207,EXK,Basic Materials,Other Precious Metals & Mining,Canada,325490000.0,28.1,23.29,-999,1.37,0.94,0.24,-0.1578,0.1069,0.0,0.24,0.0821,2.01,0.0339,1.87,0.03,0.0465,-0.1728,-0.6418,0.0124,-0.8756,15.3,1.63,0.0,False,True
211,CNTY,Consumer Cyclical,Resorts & Casinos,USA,113850000.0,-999,-999,-999,0.22,0.88,6.23,0.0109,0.2678,0.0097,0.6264,-0.0111,7.71,-0.1565,2.39,7.89,-0.042,-0.1482,-0.6398,0.1228,-0.7719,9.0,3.75,236815.0,True,True
215,JD,Consumer Cyclical,Internet Retail,China,31970000000.0,11.03,7.32,0.57,0.21,1.17,25.14,-999,0.2271,0.0,0.165,-0.114,1.58,0.1099,1.1,0.3,0.0222,-0.1089,-0.6361,0.1268,-0.7779,0.2521,23.46,0.0,False,True
221,GORV,Consumer Cyclical,Auto & Truck Dealerships,USA,72250000.0,-999,-999,-999,0.06,0.27,2.35,0.2649,0.2283,0.3125,0.8442,0.0018,5.94,-0.0124,0.17,2.21,-0.007,-0.1994,-0.63,0.3155,-0.7999,2.3226,5.15,0.0,False,True
222,CLFD,Technology,Communication Equipment,USA,405180000.0,12.31,-999,-999,1.51,1.31,11.21,0.4682,0.3237,0.0002,0.6688,0.2639,7.45,0.1406,6.83,0.07,0.1211,-0.0099,-0.6299,0.1798,-0.7996,149.1667,27.03,19932.0,False,True
224,SRTS,Healthcare,Medical Devices,USA,56670000.0,-999,65.9,-999,2.27,1.27,1.25,-999,0.4633,0.0063,0.1601,0.1967,0.43,-0.0195,5.49,0.02,-0.0358,0.3705,-0.6272,0.933,-0.7731,0.9656,3.46,74115.0,False,True
226,ADTN,Technology,Communication Equipment,USA,566640000.0,-999,60.0,-999,0.44,0.82,1.48,-999,0.2225,0.0,0.8196,0.4331,2.27,-0.1307,1.42,0.34,-0.0793,0.0995,-0.625,0.4664,-0.8491,0.5,7.2,0.0,False,True
232,NIO,Consumer Cyclical,Auto Manufacturers,China,9640000000.0,-999,-999,-999,1.25,4.91,3.76,-0.0407,0.8195,0.0,0.2805,-0.0437,2.85,-0.9696,0.97,2.05,-0.3942,-0.186,-0.6205,0.0586,-0.9083,4.1597,6.14,0.0,False,False
237,FTK,Energy,Oil & Gas Equipment & Services,USA,91350000.0,-999,9.48,-999,0.47,0.92,0.15,-0.0527,0.269,0.0793,0.1043,-0.0069,7.66,0.0597,1.27,0.14,0.0185,-0.1233,-0.614,0.0621,-0.9907,1.5667,3.08,336549.0,True,False
239,AE,Energy,Oil & Gas Refining & Marketing,USA,61200000.0,-999,38.1,-999,0.02,0.65,9.76,-999,0.3107,0.0041,0.6113,-0.0295,1.29,-0.047,0.98,0.62,-0.0022,-0.0866,-0.6119,0.0344,-0.7341,12.7143,24.0,5929.0,False,True
240,VLN,Technology,Semiconductors,Israel,230390000.0,-999,-999,-999,2.69,1.46,1.44,-999,0.1751,0.0,0.1512,-0.0287,1.03,-0.1809,8.38,0.0,-0.3474,0.0129,-0.611,0.1949,-0.8089,0.1949,2.33,0.0,False,False
242,PRTS,Consumer Cyclical,Internet Retail,USA,166750000.0,-999,-999,-999,0.25,1.34,1.16,-999,0.2498,0.0005,0.7477,-0.0053,2.03,-0.0729,0.69,0.34,-0.0124,-0.0818,-0.6102,0.16,-0.8753,2.2955,2.9,10875.0,False,False
244,JRVR,Financial,Insurance - Specialty,Bermuda,366990000.0,6.43,5.68,0.93,0.39,0.65,-999,-0.1633,-0.0075,0.0,0.9391,-0.0663,1.21,0.1023,-999,0.46,0.0644,0.0768,-0.6087,0.2172,-0.8302,0.2172,9.75,0.0,False,True
247,TG,Industrials,Metal Fabrication,USA,170330000.0,-999,-999,-999,0.24,1.1,1.41,-0.0624,-0.0201,0.0,0.5907,-0.0052,2.09,-0.4107,1.11,1.09,-0.1024,-0.0033,-0.6043,0.1379,-0.7807,4.1405,4.95,0.0,False,True
252,AXTI,Technology,Semiconductor Equipment & Materials,USA,113900000.0,-999,-999,-999,1.39,0.57,1.0,0.0708,0.1066,0.0,0.5132,0.0352,1.9,-0.0613,1.09,0.24,-0.1594,0.1035,-0.6024,0.381,-0.9473,2.9545,2.61,0.0,False,True
255,RILY,Financial,Financial Conglomerates,USA,741260000.0,-999,-999,-999,0.51,1.79,138.45,-999,0.3389,0.0047,0.4847,-0.0418,7.3,-0.1461,-999,5.94,-0.0521,0.1181,-0.6008,0.4559,-0.8433,154.1678,24.24,2002686.0,True,True
256,GNSS,Technology,Scientific & Technical Instruments,USA,71770000.0,-999,34.93,-999,1.54,1.79,0.25,-0.3399,0.135,0.2714,0.4242,-0.0143,2.37,-0.4369,1.63,0.16,-0.3942,-0.0557,-0.5995,0.0711,-0.8901,4.4958,1.63,2967750.0,True,True
257,KVHI,Technology,Communication Equipment,USA,95110000.0,-999,-999,-999,0.69,0.61,3.53,0.118,-0.0205,0.0,0.5541,0.069,7.73,-0.0174,4.01,0.01,-0.0193,-0.0335,-0.5992,0.1279,-0.8604,4.5429,4.85,0.0,False,False
258,BWEN,Industrials,Specialty Industrial Machinery,USA,52050000.0,14.45,-999,0.6,0.26,0.97,0.08,-0.1484,0.1207,0.0164,0.3311,0.2121,1.38,0.0724,0.71,0.9,0.0189,-0.0076,-0.599,0.209,-0.9916,2.645,2.43,129503.0,True,True
259,PMTS,Financial,Credit Services,USA,211440000.0,6.48,7.78,0.5,0.45,-999,0.91,-999,0.1699,0.0,0.206,0.0182,5.63,-999,1.9,-999,0.0721,0.0276,-0.5985,0.4585,-0.7267,50.25,18.45,0.0,False,True
261,ALTO,Basic Materials,Specialty Chemicals,USA,144640000.0,-999,30.77,-999,0.11,0.51,0.48,0.0681,0.0055,0.0,0.4024,-0.152,1.19,-0.1334,1.9,0.34,-0.034,-0.1912,-0.598,0.6665,-0.9996,8.0909,2.0,0.0,False,True
263,SPWH,Consumer Cyclical,Specialty Retail,USA,153010000.0,-999,-999,-999,0.12,0.56,0.08,0.1883,0.1394,0.1041,0.9503,-0.0691,4.42,-0.0332,0.09,2.01,-0.0071,-0.0926,-0.5976,0.3725,-0.7784,0.3725,4.09,571111.0,True,True
269,SLQT,Financial,Insurance Brokers,USA,199600000.0,-999,-999,-999,0.19,0.63,0.29,-999,0.3806,0.0189,0.3503,0.0171,2.06,-0.1399,2.49,2.29,-0.0439,-0.0842,-0.5952,0.5455,-0.9639,1.3333,1.19,759170.0,True,True
270,TTEC,Technology,Information Technology Services,USA,1040000000.0,25.56,9.94,-999,0.42,1.78,3.34,0.6939,0.1261,0.0,0.3632,-0.0196,5.67,0.0744,1.57,1.88,0.0163,0.0886,-0.5948,0.4381,-0.8063,5.8193,21.96,0.0,False,True
275,CONN,Consumer Cyclical,Specialty Retail,USA,116610000.0,-999,-999,-999,0.1,0.3,1.91,-999,-0.0185,0.0,0.2894,-0.0919,13.9,-0.3492,2.41,2.93,-0.1351,0.2283,-0.5937,0.8627,-0.9409,0.8627,4.75,0.0,False,True
276,DDD,Technology,Computer Hardware,USA,689830000.0,-999,97.92,-999,1.36,0.99,3.34,-0.1021,-0.055,0.024,0.6609,-0.0184,5.0,-0.1335,4.25,0.76,-0.1892,-0.0691,-0.5919,0.4771,-0.9469,9.34,5.17,493400.0,True,True
279,NOTV,Healthcare,Diagnostics & Research,USA,88980000.0,-999,-999,-999,0.16,0.33,1.38,-1.8424,1.3362,0.0114,0.2512,-0.0915,3.98,-0.334,1.05,1.55,-0.1837,0.0754,-0.5905,1.1429,-0.9431,4.75,3.45,163981.0,True,True
